HUC,X_METER_IN,Y_METER_IN,X_METER_OUT,Y_METER_OUT
3010102,1882443.796,-662970.7282,1882443.796,-662970.7282
3010103,1780652.63,-725976.4953,1780652.63,-725976.4953
3010104,1857178.741,-713060.9851,1857178.741,-713060.9851
3010105,1842088.008,-678890.4538,1842088.008,-678890.4538
3010106,1945873.89,-682139.2095,1945873.89,-682139.2095
3010107,2042355.522,-716951.1088,2042355.522,-716951.1088
3010201,1984374.84,-631164.2177,1984374.84,-631164.2177
3010202,2032665.235,-613701.9344,2032665.235,-613701.9344
3010203,2064001.102,-678883.5769,2064001.102,-678883.5769
3010204,1977915.078,-663737.6267,1977915.078,-663737.6267
3010205,2117749.459,-677751.023,2117749.459,-677751.023
3020101,1949259.773,-736670.6114,1949259.773,-736670.6114
3020102,1977947.281,-713503.7,1977947.281,-713503.7
3020103,2029978.136,-757714.7818,2029978.136,-757714.7818
3020104,2096558.127,-766494.8036,2096558.127,-766494.8036
3020105,2144527.986,-761784.7865,2144527.986,-761784.7865
3020106,2069444.78,-846376.8405,2100597.368,-844201.3023
3020201,1926560.518,-781646.9531,1926560.518,-781646.9531
3020202,2036664.414,-807416.1372,2036664.414,-807416.1372
3020203,1993904.149,-781700.2152,1993904.149,-781700.2152
3020204,2081975.279,-826416.1507,2081975.279,-826416.1507
3030001,2051447.542,-875302.7361,2051447.542,-875302.7361
3030002,1846874.697,-773316.0626,1846874.697,-773316.0626
3030003,1842211.883,-817989.9319,1842211.883,-817989.9319
3030004,1899935.291,-846301.6521,1899935.291,-846301.6521
3030005,1981064.722,-922607.0475,1981064.722,-922607.0475
3030006,1965816.676,-871345.9471,1965816.676,-871345.9471
3030007,2015684.758,-877606.8041,2015684.758,-877606.8041
3040101,1718863.008,-779649.775,1718863.008,-779649.775
3040102,1724275.173,-817658.1629,1724275.173,-817658.1629
3040103,1787497.756,-824833.0353,1787497.756,-824833.0353
3040104,1816227.852,-874421.0606,1816227.852,-874421.0606
3040105,1770918.532,-881058.5428,1770918.532,-881058.5428
3040201,1853012.951,-953687.0575,1853012.951,-953687.0575
3040202,1825986.609,-978954.9318,1825986.609,-978954.9318
3040203,1903611.763,-911600.581,1903611.763,-911600.581
3040204,1896712.96,-953695.1887,1896712.96,-953695.1887
3040205,1851200.497,-1030103.861,1851200.497,-1030103.861
3040206,1956759.783,-968677.8491,1956759.783,-968677.8491
3040207,1985523.605,-978771.7358,1954785.068,-1018579.452
3050101,1632507.38,-854714.3477,1673292.946,-854234.835
3050102,1687291.321,-867861.5792,1687291.321,-867861.5792
3050103,1741374.297,-931000.7228,1741374.297,-931000.7228
3050104,1772075.091,-996089.1562,1772075.091,-996089.1562
3050105,1650858.696,-908204.375,1650858.696,-908204.375
3050106,1715936.126,-982737.2518,1715936.126,-982737.2518
3050107,1651276.085,-956392.2532,1651276.085,-956392.2532
3050108,1654049.479,-978390.9323,1654049.479,-978390.9323
3050109,1653627.493,-1004917.738,1653627.493,-1004917.738
3050110,1762137.642,-1040474.661,1762137.642,-1040474.661
3050111,1814870.247,-1064356.603,1814870.247,-1064356.603
3050112,1883586.327,-1074034.087,1883586.327,-1074034.087
3050201,1870734.461,-1102310.262,1870734.461,-1102310.262
3050202,1853052.159,-1135811.759,1865391.827,-1124428.037
3050203,1745052.601,-1067353.895,1745052.601,-1067353.895
3050204,1725078.166,-1083894.958,1725078.166,-1083894.958
3050205,1795668.951,-1107325.681,1820421.421,-1130197.554
3050206,1809754.485,-1088330.452,1809754.485,-1088330.452
3050207,1763064.257,-1127338.883,1763064.257,-1127338.883
3050208,1798640.761,-1177327.152,1798640.761,-1177327.152
3060101,1566502.293,-974181.7804,1566502.293,-974181.7804
3060102,1533523.563,-989684.8077,1533523.563,-989684.8077
3060103,1604613.347,-1040334.73,1604613.347,-1040334.73
3060104,1553184.627,-1052622.638,1553184.627,-1052622.638
3060105,1606452.705,-1100031.965,1606452.705,-1100031.965
3060106,1692769.199,-1119169.005,1692769.199,-1119169.005
3060107,1658542.988,-1063322.896,1658542.988,-1063322.896
3060108,1672365.984,-1143290.503,1672365.984,-1143290.503
3060109,1761368.065,-1203885.8,1761368.065,-1203885.8
3060201,1637547.301,-1157819.654,1637547.301,-1157819.654
3060202,1727036.045,-1211144.666,1727036.045,-1211144.666
3060203,1708269.389,-1237047.148,1708269.389,-1237047.148
3060204,1771849.315,-1281461.967,1771849.315,-1281461.967
3070101,1534504.686,-1111191.232,1534504.686,-1111191.232
3070102,1595347.519,-1209212.525,1595347.519,-1209212.525
3070103,1497053.112,-1157185.206,1497053.112,-1157185.206
3070104,1571362.51,-1272295.519,1571362.51,-1272295.519
3070105,1606432.134,-1265068.442,1606432.134,-1265068.442
3070106,1708091.81,-1294051.358,1708091.81,-1294051.358
3070107,1653910.597,-1225868.682,1653910.597,-1225868.682
3070201,1676955.353,-1348049.158,1676955.353,-1348049.158
3070202,1691378.141,-1315704.437,1691378.141,-1315704.437
3070203,1760848.6,-1355736.678,1760848.6,-1355736.678
3070204,1725453.89,-1430028.821,1725453.89,-1430028.821
3070205,1760784.205,-1418089.501,1760784.205,-1418089.501
3080101,1855338.13,-1627165.543,1855338.13,-1627165.543
3080102,1758520.088,-1576813.503,1758520.088,-1576813.503
3080103,1783685.017,-1493696.08,1783685.017,-1493696.08
3080201,1833851.314,-1528025.013,1833851.314,-1528025.013
3080202,1901571.083,-1627305.149,1901571.083,-1627305.149
3080203,1933962.027,-1706223.625,1933962.027,-1706223.625
3090101,1856067.828,-1706230.608,1856067.828,-1706230.608
3090102,1918665.319,-1760749.85,1918665.319,-1760749.85
3090103,1875138.011,-1788396.942,1875138.011,-1788396.942
3090201,1921144.066,-1798931.371,1921144.066,-1798931.371
3090202,1960131.083,-1867973.648,1960131.083,-1867973.648
3090203,2009089.441,-1969258.947,1942799.79,-2030994.003
3090204,1882661.34,-1901578.788,1882661.34,-1901578.788
3090205,1859664.987,-1836850.845,1859664.987,-1836850.845
3100101,1815942.504,-1762604.291,1815942.504,-1762604.291
3100102,1781353.699,-1795164.276,1781353.699,-1795164.276
3100103,1804114.852,-1846814.028,1804114.852,-1846814.028
3100201,1758881.031,-1802402.129,1758881.031,-1802402.129
3100202,1761227.213,-1767506.292,1761227.213,-1767506.292
3100203,1764487.626,-1748330.585,1764487.626,-1748330.585
3100204,1779019.713,-1723890.662,1779019.713,-1723890.662
3100205,1757940.906,-1694474.634,1757940.906,-1694474.634
3100206,1736088.526,-1726401.097,1736088.526,-1726401.097
3100207,1719868.623,-1665603.115,1719868.623,-1665603.115
3100208,1760155.035,-1636504.363,1760155.035,-1636504.363
3110101,1688304.153,-1571814.738,1688304.153,-1571814.738
3110102,1610164.994,-1522819.876,1610164.994,-1522819.876
3110103,1568421.709,-1464546.363,1568421.709,-1464546.363
3110201,1670755.058,-1418214.359,1670755.058,-1418214.359
3110202,1570125.137,-1324085.97,1599642.508,-1367585.026
3110203,1592361.283,-1374617.227,1589515.515,-1411312.679
3110204,1565268.72,-1373367.443,1565268.72,-1373367.443
3110205,1648804.319,-1512845.113,1648804.319,-1512845.113
3110206,1704225.16,-1500641.176,1704225.16,-1500641.176
3120001,1529568.336,-1484429.954,1529568.336,-1484429.954
3120002,1530535.224,-1410880.839,1530535.224,-1410880.839
3120003,1493067.608,-1484191.696,1493067.608,-1484191.696
3130001,1476221.051,-1046149.409,1476221.051,-1046149.409
3130002,1405693.53,-1188698.023,1405693.53,-1188698.023
3130003,1416073.016,-1301170.933,1416073.016,-1301170.933
3130004,1427394.22,-1400685.716,1427394.22,-1400685.716
3130005,1463191.282,-1206530.427,1463191.282,-1206530.427
3130006,1516112.214,-1300026.829,1516112.214,-1300026.829
3130007,1482004.932,-1310127.944,1482004.932,-1310127.944
3130008,1499434.815,-1397704.853,1499434.815,-1397704.853
3130009,1470575.656,-1358259.837,1470575.656,-1358259.837
3130010,1456637.346,-1410603.174,1456637.346,-1410603.174
3130011,1451579.428,-1516527.414,1451579.428,-1516527.414
3130012,1419870.773,-1468811.133,1419870.773,-1468811.133
3130013,1477995.133,-1537670.439,1477995.133,-1537670.439
3130014,1449308.773,-1580295.276,1460849.258,-1576201.616
3140101,1400535.046,-1522453.99,1400535.046,-1522453.99
3140102,1321415.61,-1501375.09,1321415.61,-1501375.09
3140103,1301292.365,-1460684.618,1301292.365,-1460684.618
3140104,1261313.31,-1475620.112,1261313.31,-1475620.112
3140105,1263049.264,-1518853.13,1263049.264,-1518853.13
3140106,1198865.903,-1497605.219,1198865.903,-1497605.219
3140107,1211905.886,-1535380.087,1211905.886,-1535380.087
3140201,1374073.784,-1395697.268,1374073.784,-1395697.268
3140202,1344114.301,-1389415.804,1344114.301,-1389415.804
3140203,1370256.046,-1472700.988,1370256.046,-1472700.988
3140301,1316617.038,-1375425.819,1316617.038,-1375425.819
3140302,1301801.976,-1366369.343,1301801.976,-1366369.343
3140303,1267995.994,-1387777.213,1267995.994,-1387777.213
3140304,1240424.711,-1432058.53,1240424.711,-1432058.53
3140305,1218210.846,-1466594.116,1218210.846,-1466594.116
3150101,1389128.075,-1003384.205,1389128.075,-1003384.205
3150102,1414563.197,-1030203.142,1414563.197,-1030203.142
3150103,1369477.443,-1050545.819,1369477.443,-1050545.819
3150104,1419442.023,-1069376.311,1419442.023,-1069376.311
3150105,1339558.892,-1081702.568,1339558.892,-1081702.568
3150106,1295702.344,-1142980.913,1295702.344,-1142980.913
3150107,1277771.955,-1229629.662,1277771.955,-1229629.662
3150108,1362769.557,-1149630.73,1362769.557,-1149630.73
3150109,1338088.671,-1220783.844,1338088.671,-1220783.844
3150110,1342568.036,-1285352.92,1342568.036,-1285352.92
3150201,1267526.924,-1300715.981,1267526.924,-1300715.981
3150202,1219065.859,-1238395.513,1219065.859,-1238395.513
3150203,1211969.479,-1342768.157,1211969.479,-1342768.157
3150204,1195032.229,-1412008.811,1195032.229,-1412008.811
3160101,1069273.827,-1126214.846,1069273.827,-1126214.846
3160102,1038575.443,-1125549.96,1038575.443,-1125549.96
3160103,1106663.992,-1140310.888,1106663.992,-1140310.888
3160104,1037063.048,-1186213.086,1037063.048,-1186213.086
3160105,1107728.834,-1178897.716,1107728.834,-1178897.716
3160106,1109474.263,-1242194.559,1109474.263,-1242194.559
3160107,1136999.548,-1195237.231,1136999.548,-1195237.231
3160108,1062433.588,-1252351.881,1062433.588,-1252351.881
3160109,1229815.503,-1107678.591,1195579.343,-1139416.008
3160110,1181439.819,-1115328.173,1181439.819,-1115328.173
3160111,1239004.633,-1141890.505,1239004.633,-1141890.505
3160112,1177845.872,-1198148.023,1177845.872,-1198148.023
3160113,1163452.946,-1265146.684,1163452.946,-1265146.684
3160201,1132736.488,-1348537.168,1132736.488,-1348537.168
3160202,1089362.952,-1304647.297,1089362.952,-1304647.297
3160203,1145496.484,-1415508.611,1145496.484,-1415508.611
3160204,1154936.845,-1485114.995,1154936.845,-1485114.995
3160205,1166025.523,-1533699.5,1166025.523,-1533699.5
3170001,1048262.098,-1328172.337,1048262.098,-1328172.337
3170002,1075412.713,-1378390.604,1075412.713,-1378390.604
3170003,1090576.444,-1449696.811,1090576.444,-1449696.811
3170004,1002050.128,-1404788.311,1002050.128,-1404788.311
3170005,1048720.501,-1427075.809,1048720.501,-1427075.809
3170006,1098346.728,-1539015.106,1093966.238,-1516088.841
3170007,1040809.647,-1489675.982,1040809.647,-1489675.982
3170008,1118138.41,-1488838.738,1118138.41,-1488838.738
3170009,1048596.763,-1540454.819,1048596.763,-1540454.819
3180001,1007709.824,-1289029.259,1007709.824,-1289029.259
3180002,954091.4168,-1364036.182,954091.4168,-1364036.182
3180003,947969.0104,-1432836.959,947969.0104,-1432836.959
3180004,987313.2018,-1511679.88,987313.2018,-1511679.88
3180005,937984.7375,-1485811.689,937984.7375,-1485811.689
4010101,702735.1412,352434.3298,702735.1412,352434.3298
4010102,630349.048,269810.6588,630349.048,269810.6588
4010201,566469.8325,268846.4904,566469.8325,268846.4904
4010202,603074.2212,268527.5804,603074.2212,268527.5804
4010301,643424.5079,213273.3952,643424.5079,213273.3952
4010302,715287.039,197355.4886,715287.039,197355.4886
4020101,782143.9924,221656.5916,782143.9924,221656.5916
4020102,825873.6562,218970.849,825873.6562,218970.849
4020103,865051.9134,298360.0303,865051.9134,298360.0303
4020104,867599.056,249656.5812,867599.056,249656.5812
4020105,917413.5101,260194.1688,917413.5101,260194.1688
4020201,991054.1996,234370.2384,1051034.779,260277.3171
4020202,1120221.671,257186.3862,1120221.671,257186.3862
4020203,1169451.69,267542.7606,1169451.69,267542.7606
4020300,1009701.489,316887.021,878207.4632,317629.3019
4030101,965913.1854,-38159.78149,965913.1854,-38159.78149
4030102,989318.9378,55019.93226,989318.9378,55019.93226
4030103,934175.2545,28698.77216,934175.2545,28698.77216
4030104,914407.2487,76606.73521,914407.2487,76606.73521
4030105,915487.0611,107513.6576,915487.0611,107513.6576
4030106,876378.2007,191841.6383,876378.2007,191841.6383
4030107,908818.4196,220318.4394,908818.4196,220318.4394
4030108,925854.7536,146230.2227,925854.7536,146230.2227
4030109,968150.6383,162312.8605,968150.6383,162312.8605
4030110,955379.6726,213241.2659,955379.6726,213241.2659
4030111,999529.0568,200304.5933,999529.0568,200304.5933
4030112,1031027.268,188648.5304,1031027.268,188648.5304
4030201,867080.7381,-70145.79226,867080.7381,-70145.79226
4030202,877091.8026,27465.94151,877091.8026,27465.94151
4030203,923505.0827,-54923.74776,923505.0827,-54923.74776
4030204,939501.8721,-4642.718568,939501.8721,-4642.718568
4040001,1079306.235,-287556.421,1079306.235,-287556.421
4040002,986099.4758,-180059.2136,986099.4758,-180059.2136
4040003,961284.2212,-107385.4324,961284.2212,-107385.4324
4050001,1190209.286,-245405.548,1190209.286,-245405.548
4050002,1134897.591,-172373.4636,1134897.591,-172373.4636
4050003,1200941.227,-179728.3074,1200941.227,-179728.3074
4050004,1271033.428,-149122.1082,1271033.428,-149122.1082
4050005,1244419.985,-95968.97501,1244419.985,-95968.97501
4050006,1173413.836,-106359.9992,1173413.836,-106359.9992
4050007,1208969.061,-147692.7094,1208969.061,-147692.7094
4060101,1114770.665,-44480.55781,1114770.665,-44480.55781
4060102,1175597.527,-14615.94176,1175597.527,-14615.94176
4060103,1146555.413,36319.25806,1146555.413,36319.25806
4060104,1109606.739,64271.08937,1109606.739,64271.08937
4060105,1160462.72,113097.6638,1160462.72,113097.6638
4060106,1059047.605,230586.8286,1059047.605,230586.8286
4060107,1097549.747,215006.8517,1118880.705,221195.5505
4060200,1056965.485,-26085.11672,1056965.485,-26085.11672
4070001,1202833.919,252390.0756,1202833.919,252390.0756
4070002,1178479.363,237116.6388,1178479.363,237116.6388
4070003,1284654.282,158508.819,1264027.594,156575.0394
4070004,1194874.516,152705.7797,1194874.516,152705.7797
4070005,1226071.454,151764.5966,1226071.454,151764.5966
4070006,1267141.056,123580.9608,1267141.056,123580.9608
4070007,1245770.165,82217.7192,1245770.165,82217.7192
4080101,1279687.966,45826.90863,1279687.966,45826.90863
4080102,1274657.553,-5431.548207,1274657.553,-5431.548207
4080103,1335010.936,-4460.040297,1335010.936,-4460.040297
4080104,1384140.254,-1530.822709,1384140.254,-1530.822709
4080201,1239983.105,-4223.447732,1239983.105,-4223.447732
4080202,1217047.434,-45004.5364,1217047.434,-45004.5364
4080203,1266234.872,-59178.53261,1289114.874,-89568.19469
4080204,1329130.187,-79040.30155,1329130.187,-79040.30155
4080205,1347743.554,-33774.7816,1347743.554,-33774.7816
4080206,1297753.184,-40916.28743,1297753.184,-40916.28743
4080300,1324305.536,113963.3069,1324305.536,113963.3069
4090001,1390984.43,-62064.45419,1390984.43,-62064.45419
4090002,1392709.933,-137371.8236,1402743.02,-116764.4823
4090003,1374297.922,-110918.5536,1374297.922,-110918.5536
4090004,1366345.178,-152913.5154,1366345.178,-152913.5154
4090005,1330073.333,-156338.0586,1330073.333,-156338.0586
4100001,1354345.689,-209450.5309,1354345.689,-209450.5309
4100002,1320646.362,-206498.855,1320646.362,-206498.855
4100003,1257289.106,-270591.8905,1257289.106,-270591.8905
4100004,1283699.264,-357473.657,1283699.264,-357473.657
4100005,1268209.932,-306206.6029,1268209.932,-306206.6029
4100006,1293282.163,-254155.3059,1293282.163,-254155.3059
4100007,1310574.467,-331817.9152,1310574.467,-331817.9152
4100008,1359706.864,-317004.2573,1359706.864,-317004.2573
4100009,1333308.16,-269725.9244,1333308.16,-269725.9244
4100010,1375442.857,-262865.8721,1375442.857,-262865.8721
4100011,1412156.848,-291460.4221,1412156.848,-291460.4221
4100012,1454269.399,-271037.6961,1454269.399,-271037.6961
4110001,1495438.457,-251846.2534,1495438.457,-251846.2534
4110002,1544128.933,-237966.0018,1544128.933,-237966.0018
4110003,1541373.48,-205234.053,1558588.35,-193557.9854
4110004,1576232.548,-195169.6896,1576232.548,-195169.6896
4120101,1642352.938,-118759.2327,1642352.938,-118759.2327
4120102,1734242.003,-53809.58823,1734242.003,-53809.58823
4120103,1726498.408,-26226.59876,1726498.408,-26226.59876
4120104,1729360.203,4786.236669,1729360.203,4786.236669
4120200,1537411.693,-159495.4439,1537411.693,-159495.4439
4130001,1741621.435,37584.55188,1741621.435,37584.55188
4130002,1793844.756,-48850.10092,1793844.756,-48850.10092
4130003,1790856.009,12065.55114,1790856.009,12065.55114
4140101,1840674.245,62287.48892,1840674.245,62287.48892
4140102,1909036.339,133434.6848,1909036.339,133434.6848
4140201,1876080.746,22339.20409,1876080.746,22339.20409
4140202,1936632.8,90343.08365,1936632.8,90343.08365
4140203,1887801.537,87749.62327,1887801.537,87749.62327
4150101,1967639.368,163600.0442,1967639.368,163600.0442
4150102,1889055.772,177982.6855,1889055.772,177982.6855
4150200,1798474.831,89410.73649,1798474.831,89410.73649
4150301,1910859.333,243559.1826,1910859.333,243559.1826
4150302,1947385.592,218584.0968,1947385.592,218584.0968
4150303,1924385.897,193723.7711,1919202.243,206774.505
4150304,1956823.647,245682.2114,1956823.647,245682.2114
4150305,2014381.518,203884.1206,1993190.525,234210.8208
4150306,1985713.581,275336.2659,1985713.581,275336.2659
4150307,2006438.329,306261.6379,2006438.329,306261.6379
5010001,1751794.449,-106917.8341,1751794.449,-106917.8341
5010002,1701151.432,-96696.85697,1701151.432,-96696.85697
5010003,1693330.005,-172302.3773,1693330.005,-172302.3773
5010004,1649919.791,-156235.6257,1649919.791,-156235.6257
5010005,1737840.817,-180219.6828,1737840.817,-180219.6828
5010006,1734163.869,-230384.7742,1734163.869,-230384.7742
5010007,1769350.109,-289297.6332,1769350.109,-289297.6332
5010008,1732654.035,-295128.5659,1732654.035,-295128.5659
5010009,1692821.519,-273887.1643,1692821.519,-273887.1643
5020001,1719002.478,-460076.433,1719002.478,-460076.433
5020002,1684222.619,-444613.2758,1684222.619,-444613.2758
5020003,1696976.21,-399474.7715,1696976.21,-399474.7715
5020004,1744595.447,-431016.1288,1744595.447,-431016.1288
5020005,1692587.264,-349298.7612,1692587.264,-349298.7612
5020006,1747730.76,-351307.7108,1747730.76,-351307.7108
