HUC_values,THG,X_METER_IN,Y_METER_IN,X_METER_OUT,Y_METER_OUT
16050201,3.42,-1700419.972,-484863.8396,-1700419.972,-484863.8396
16050203,204.57,-1583576.913,-419518.7245,-1583576.913,-419518.7245
17010201,5.57,-987082.6736,234195.6025,-987082.6736,234195.6025
17010204,1.53,-1113307.659,336888.7015,-1113307.659,336888.7015
17010207,1.15,-999018.0391,455006.2986,-999018.0391,455006.2986
17010212,1.14,-1076037.711,375881.9707,-1076037.711,375881.9707
17010302,8.91,-1200360.107,398145.687,-1200360.107,398145.687
17020013,0.5226,-1383207.613,442193.0238,-1383207.613,442193.0238
17030001,0.7491,-1557657.959,437256.1694,-1557657.959,437256.1694
17030003,1.0081,-1544651.59,346877.5287,-1544651.59,346877.5287
17040101,0.57,-837925.1281,-59737.96314,-837925.1281,-59737.96314
17090001,0.4202,-1781952.646,110414.4978,-1781952.646,110414.4978
17090002,3.435,-1822250.399,118066.2975,-1822250.399,118066.2975
17090004,0.5681,-1761179.441,151354.2609,-1761179.441,151354.2609
17090005,1.0518,-1741187.742,210626.7985,-1741187.742,210626.7985
17090006,0.6179,-1768361.591,195176.9174,-1768361.591,195176.9174
17090010,1.8223,-1777128.727,317280.4876,-1777128.727,317280.4876
17090011,2.69115,-1717227.361,250020.602,-1717227.361,250020.602
17090012,2.98435,-1758533.264,341599.5175,-1750195.972,318859.9795
17100303,1.3359,-1875695.899,120712.0587,-1875695.899,120712.0587
17110012,2.82,-1638310.804,515509.1436,-1638310.804,515509.1436
18020003,0.9,-1793815.919,-211570.6729,-1793815.919,-211570.6729
18020102,1.02,-1889003.262,-259906.2857,-1889003.262,-259906.2857
18020104,8.545,-1890898.727,-388310.7307,-1890898.727,-388310.7307
18020108,17.82,-1839003.456,-427703.253,-1839003.456,-427703.253
18020109,4.09585,-1872914.777,-476618.3343,-1872914.777,-476618.3343
18030001,0.9025,-1652013.009,-799670.2529,-1652013.009,-799670.2529
18030007,1.79,-1683107.65,-756220.4737,-1683107.65,-756220.4737
18030010,0.665,-1670132.369,-711169.2585,-1670132.369,-711169.2585
18040001,17.1816,-1809593.846,-661564.7854,-1809593.846,-661564.7854
18040002,1.8847,-1830541.412,-585850.8712,-1830541.412,-585850.8712
18040008,0.64,-1735468.822,-609481.1817,-1735468.822,-609481.1817
18040009,0.72,-1738212.091,-576254.7497,-1738212.091,-576254.7497
18040013,1.8456,-1788878.243,-488614.0648,-1788878.243,-488614.0648
18070203,2.99,-1604577.433,-1056617.389,-1604577.433,-1056617.389
2010003,1.72,2131939.793,287757.7614,2131939.793,287757.7614
2010006,1.27,2039709.602,294100.2751,2039709.602,294100.2751
2020001,2.166,2056626.646,197590.0243,2056626.646,197590.0243
2020002,2.01,2055047.921,144714.6466,2055047.921,144714.6466
2020003,2.9,2127938.114,129005.3754,2127938.114,129005.3754
2020004,1.98,2021123.497,106019.1691,2021123.497,106019.1691
2020006,5.14,2118825.92,46999.61927,2118825.92,46999.61927
2030101,0.88,2161761.019,-67544.78611,2161761.019,-67544.78611
2030103,2.86,2133191.565,-112234.1882,2133191.565,-112234.1882
2030105,2.48,2119414.063,-168461.2146,2119414.063,-168461.2146
2030202,2.035,2236870.387,-94761.56634,2236870.387,-94761.56634
2040101,1.135,2044903.471,-51943.15118,2032471.749,-21884.64888
2040103,2.155,2033390.124,-79864.51743,2033390.124,-79864.51743
2040104,0.91,2068539.321,-82082.25538,2068539.321,-82082.25538
2040105,11.64,2075385.34,-143120.9215,2084936.211,-159601.4415
2040106,3.415,2029608.151,-155683.3786,2029608.151,-155683.3786
2040201,8.45,2113023.643,-212200.0473,2113023.643,-212200.0473
2040202,1.12,2104580.837,-244112.5883,2104580.837,-244112.5883
2040203,1.58,2031143.744,-211418.4398,2031143.744,-211418.4398
2040205,2.27585,2054601.839,-274943.3873,2054601.839,-274943.3873
2040206,2.25,2110967.634,-299316.3551,2110967.634,-299316.3551
2040302,12.26,2146801.596,-291618.0264,2146801.596,-291618.0264
2050101,1.44,2006597.369,22660.17409,2006597.369,22660.17409
2050106,1.46,1957696.221,-82334.30329,1957696.221,-82334.30329
2050107,1.19,1979720.252,-134652.0812,1979720.252,-134652.0812
2060002,0.8148,2047954.172,-335405.3366,2047954.172,-335405.3366
2060008,1.2822,2095443.663,-400863.7764,2095443.663,-400863.7764
2060009,4.5151,2118161.495,-444096.7077,2118161.495,-444096.7077
2070001,1.4459,1790329.65,-457693.9866,1790329.65,-457693.9866
2070010,2.0646,1951708.39,-420626.4436,1951708.39,-420626.4436
3010102,1.037,1882443.796,-662970.7282,1882443.796,-662970.7282
3010201,1.4469,1984374.84,-631164.2177,1984374.84,-631164.2177
3010203,6.602,2064001.102,-678883.5769,2064001.102,-678883.5769
3020103,1.8802,2029978.136,-757714.7818,2029978.136,-757714.7818
3020201,2.1,1926560.518,-781646.9531,1926560.518,-781646.9531
3020203,1.583,1993904.149,-781700.2152,1993904.149,-781700.2152
3050109,1.05,1653627.493,-1004917.738,1653627.493,-1004917.738
3050203,6.59,1745052.601,-1067353.895,1745052.601,-1067353.895
3050204,2.9593,1725078.166,-1083894.958,1725078.166,-1083894.958
3050205,4.9583,1795668.951,-1107325.681,1820421.421,-1130197.554
3070204,4.522,1725453.89,-1430028.821,1725453.89,-1430028.821
3080101,2.3461,1855338.13,-1627165.543,1855338.13,-1627165.543
3090101,2.7873,1856067.828,-1706230.608,1856067.828,-1706230.608
3110102,1.0112,1610164.994,-1522819.876,1610164.994,-1522819.876
3110203,2.2542,1592361.283,-1374617.227,1589515.515,-1411312.679
3110206,4.4393,1704225.16,-1500641.176,1704225.16,-1500641.176
3130001,3.2121,1476221.051,-1046149.409,1476221.051,-1046149.409
3130002,2.2689,1405693.53,-1188698.023,1405693.53,-1188698.023
3130006,1.9473,1516112.214,-1300026.829,1516112.214,-1300026.829
3130008,0.729,1499434.815,-1397704.853,1499434.815,-1397704.853
3130009,0.9353,1470575.656,-1358259.837,1470575.656,-1358259.837
3130010,1.0982,1456637.346,-1410603.174,1456637.346,-1410603.174
3130013,7.7288,1477995.133,-1537670.439,1477995.133,-1537670.439
3150105,4.68,1339558.892,-1081702.568,1339558.892,-1081702.568
3150202,1.14,1219065.859,-1238395.513,1219065.859,-1238395.513
3150204,1.78,1195032.229,-1412008.811,1195032.229,-1412008.811
3160201,2.74,1132736.488,-1348537.168,1132736.488,-1348537.168
3160203,2.09,1145496.484,-1415508.611,1145496.484,-1415508.611
3160204,2.27,1154936.845,-1485114.995,1154936.845,-1485114.995
4010101,2.02,702735.1412,352434.3298,702735.1412,352434.3298
4020102,0.828682229,825873.6562,218970.849,825873.6562,218970.849
4020103,1.126050369,865051.9134,298360.0303,865051.9134,298360.0303
4020104,0.887,867599.056,249656.5812,867599.056,249656.5812
4020105,1.818,917413.5101,260194.1688,917413.5101,260194.1688
4030101,0.458429218,965913.1854,-38159.78149,965913.1854,-38159.78149
4030104,1.30842336,914407.2487,76606.73521,914407.2487,76606.73521
