QW_SEQ,CEN,SULFATE
5202,FALSE,1.64
4523,FALSE,1.646
2996,FALSE,1.66
3415,FALSE,1.66
4482,FALSE,1.68
5140,FALSE,1.68
5242,FALSE,1.68
3346,FALSE,1.69
3356,FALSE,1.69
5033,FALSE,1.69
4478,FALSE,1.696
4645,FALSE,1.7
5159,FALSE,1.7
2926,FALSE,1.73
4067,FALSE,1.73
5206,FALSE,1.73
2745,FALSE,1.73460345
4005,FALSE,1.744
3337,FALSE,1.75
4578,FALSE,1.753
3574,FALSE,1.754
2747,FALSE,1.75861845
4545,FALSE,1.765
4548,FALSE,1.765
4754,FALSE,1.77
5134,FALSE,1.77
2749,FALSE,1.77792651
4219,FALSE,1.78
2765,FALSE,1.79905971
3438,FALSE,1.8
5151,FALSE,1.8
3552,FALSE,1.82
4549,FALSE,1.823
2774,FALSE,1.83407358
3545,FALSE,1.85
3025,FALSE,1.86
5039,FALSE,1.87
4547,FALSE,1.873
5103,FALSE,1.88
2748,FALSE,1.88753097
4496,FALSE,1.89
3549,FALSE,1.9
4218,FALSE,1.9
5095,FALSE,1.9
4795,FALSE,1.905
4728,FALSE,1.913
3399,FALSE,1.92
4538,FALSE,1.927
4738,FALSE,1.93
3995,FALSE,1.939
2767,FALSE,1.93911519
4562,FALSE,1.94
2995,FALSE,1.95
4609,FALSE,1.959
2778,FALSE,1.95923976
5265,FALSE,1.96
2754,FALSE,1.96529154
5227,FALSE,1.97
2752,FALSE,1.97384088
2725,FALSE,1.97422512
2775,FALSE,1.98042099
4008,FALSE,1.986
3178,FALSE,2
4353,FALSE,2
5163,FALSE,2
4065,FALSE,2.005
4580,FALSE,2.028
4546,FALSE,2.031
4944,FALSE,2.04646224
4015,FALSE,2.062
2755,FALSE,2.06284047
4665,FALSE,2.08
5261,FALSE,2.08
4217,FALSE,2.087
4506,FALSE,2.09
3575,FALSE,2.093
4409,FALSE,2.1
5298,FALSE,2.1
5156,FALSE,2.1
5160,FALSE,2.1
5290,FALSE,2.1
4611,FALSE,2.103
4792,FALSE,2.12
4747,FALSE,2.143
4560,FALSE,2.155
3561,FALSE,2.17
5138,FALSE,2.17
3384,FALSE,2.19
3919,FALSE,2.19
5251,FALSE,2.19
4656,FALSE,2.22
3920,FALSE,2.23
4220,FALSE,2.236
3338,FALSE,2.25
4695,FALSE,2.25
4226,FALSE,2.276
3444,FALSE,2.3
4379,FALSE,2.3
5247,FALSE,2.3
4225,FALSE,2.314
4735,FALSE,2.322
3044,FALSE,2.33
2819,FALSE,2.33017545
3287,FALSE,2.34
4567,FALSE,2.347
4001,FALSE,2.348
3918,FALSE,2.35
4852,FALSE,2.357
4504,FALSE,2.36
3530,FALSE,2.367
2863,FALSE,2.36792703
4832,FALSE,2.371
4060,FALSE,2.374
2753,FALSE,2.37902196
4221,FALSE,2.383
4561,FALSE,2.386
2801,FALSE,2.3938152
4651,FALSE,2.397
2763,FALSE,2.39929062
4924,FALSE,2.4
5157,FALSE,2.4
2764,FALSE,2.40510225
