QW_SEQ,CEN,P_HG
4576,FALSE,0.397
4022,FALSE,0.398
3710,FALSE,0.3987
3669,FALSE,0.4
4250,FALSE,0.4003
5189,FALSE,0.4004
3873,FALSE,0.403
3508,FALSE,0.4058
3606,FALSE,0.4058
5256,FALSE,0.4059
3794,FALSE,0.408
3561,FALSE,0.4088
3438,FALSE,0.41
4771,FALSE,0.4112
5194,FALSE,0.4132
5192,FALSE,0.4134
4772,FALSE,0.4149
4200,FALSE,0.416
4162,FALSE,0.417
5253,FALSE,0.4175
3631,FALSE,0.4179
3702,FALSE,0.4186
5193,FALSE,0.4232
3993,FALSE,0.424
3470,FALSE,0.4242
3793,FALSE,0.426
3693,FALSE,0.43
3563,FALSE,0.4309
4798,FALSE,0.4319
3560,FALSE,0.4345
5255,FALSE,0.4348
3791,FALSE,0.4352
3727,FALSE,0.4364
3593,FALSE,0.4373
3618,FALSE,0.438
3180,FALSE,0.44
3797,FALSE,0.441
3834,FALSE,0.442
3807,FALSE,0.445
4793,FALSE,0.4459
4043,FALSE,0.446
4102,FALSE,0.4485
3573,FALSE,0.4486
3195,FALSE,0.45
5153,FALSE,0.4536
4289,FALSE,0.4545
4199,FALSE,0.456
3715,FALSE,0.4561
5141,FALSE,0.4578
4294,FALSE,0.4594
3624,FALSE,0.4595
5155,FALSE,0.4595
3703,FALSE,0.4637
3944,FALSE,0.4642
3945,FALSE,0.4642
3574,FALSE,0.4672
3562,FALSE,0.4694
3507,FALSE,0.47
4305,FALSE,0.4716
4543,FALSE,0.472
3996,FALSE,0.473
4479,FALSE,0.473
3805,FALSE,0.475
3699,FALSE,0.4763
5204,FALSE,0.4769
4108,FALSE,0.4772
3548,FALSE,0.4777
3550,FALSE,0.4789
3716,FALSE,0.4858
4588,FALSE,0.486
3642,FALSE,0.487
3887,FALSE,0.489
4564,FALSE,0.49
5263,FALSE,0.4956
3506,FALSE,0.4957
5130,FALSE,0.4957
4333,FALSE,0.4987
3501,FALSE,0.5
4020,FALSE,0.5
3687,FALSE,0.5009
3179,FALSE,0.502
4582,FALSE,0.502
5120,FALSE,0.5069
3529,FALSE,0.5077
3695,FALSE,0.508
3556,FALSE,0.5085
4796,FALSE,0.5087
4016,FALSE,0.51
4293,FALSE,0.514
3173,FALSE,0.515
3711,FALSE,0.5183
4161,FALSE,0.519
3575,FALSE,0.52
3576,FALSE,0.5207
4027,FALSE,0.5221
3447,FALSE,0.5225
3995,FALSE,0.524
5124,FALSE,0.5267
5144,FALSE,0.5273
5236,FALSE,0.5284
3689,FALSE,0.5295
5242,FALSE,0.5317
4286,FALSE,0.5337
3700,FALSE,0.5342
4144,FALSE,0.535
5208,FALSE,0.5355
4538,FALSE,0.536
4811,FALSE,0.5374
3185,FALSE,0.54
3839,FALSE,0.542
4590,FALSE,0.543
3182,FALSE,0.546
4155,FALSE,0.548
4799,FALSE,0.5509
3692,FALSE,0.5565
5191,FALSE,0.5606
3675,FALSE,0.5613
3827,FALSE,0.5618
4165,FALSE,0.562
4794,FALSE,0.5642
3613,FALSE,0.5661
4541,FALSE,0.569
3436,FALSE,0.57
4551,FALSE,0.57
5107,FALSE,0.5701
4540,FALSE,0.573
3889,FALSE,0.58
4571,FALSE,0.58
3817,FALSE,0.581
5143,FALSE,0.5818
3707,FALSE,0.5819
4452,FALSE,0.5824
3847,FALSE,0.583
4580,FALSE,0.584
3679,FALSE,0.5842
3674,FALSE,0.5848
5149,FALSE,0.5857
3425,FALSE,0.59
3698,FALSE,0.5903
5187,FALSE,0.5909
4788,FALSE,0.5932
3569,FALSE,0.5938
4574,FALSE,0.595
3528,FALSE,0.5973
3815,FALSE,0.598
5207,FALSE,0.6002
3546,FALSE,0.6102
5139,FALSE,0.6108
3811,FALSE,0.619
3426,FALSE,0.62
3664,FALSE,0.6214
3555,FALSE,0.6229
3559,FALSE,0.6238
3798,FALSE,0.625
3688,FALSE,0.6253
3744,FALSE,0.6273
3948,FALSE,0.6306
3951,FALSE,0.6306
3685,FALSE,0.633
3620,FALSE,0.6346
4544,FALSE,0.635
3830,FALSE,0.636
4795,FALSE,0.6382
3950,FALSE,0.6402
3643,FALSE,0.6419
3816,FALSE,0.643
3603,FALSE,0.6438
3946,FALSE,0.6443
3947,FALSE,0.6443
3619,FALSE,0.6452
3520,FALSE,0.6475
3735,FALSE,0.648
5103,FALSE,0.6515
3884,FALSE,0.657
3660,FALSE,0.6591
3803,FALSE,0.666
