Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER
0,20010000,0,150467.93394,722126.57897,-5718307.0394349600,-1022817.4289545100
0,20020000,1,82398.92131,857997.86469,-5704849.3157952900,-849428.8406637600
0,20030000,2,43733.89633,824779.96836,-5755338.7542838600,-856164.6172373670
0,20040000,3,11447.02588,863389.85163,-5761890.9835368100,-798417.6887412530
0,20050000,4,-8647.20096,911919.51523,-5752465.9494443900,-739129.0769075550
0,20060000,5,-110097.53122,953101.71136,-5814441.4223792100,-633476.4897367770
0,20070000,6,-230711.95110,1006911.67586,-5883696.2907112900,-502225.7970321850
0,20080000,7,-325726.52217,989904.79182,-5971150.5008231800,-454356.4056291820
0,20090000,8,-356044.56509,1021068.25651,-5977843.2934521300,-404220.3874491280
