Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER
0,19010101,0,1415430.13799,889616.69348,-1896269.5579987400,1594482.1589102400
0,19010102,1,1401027.16794,849831.22583,-1934918.4641048600,1575156.1560929600
0,19010103,2,1311230.56335,820242.06062,-2020530.2757499700,1615731.4083852000
0,19010201,3,1238150.21294,1020462.21773,-1930103.7763341300,1814478.4141856400
0,19010202,4,1245507.75165,919220.63729,-1997303.4503318800,1734750.5156150100
0,19010203,5,1097635.15977,982040.41337,-2058697.3639641000,1884279.3194576800
0,19010204,6,1152256.07892,1019810.02055,-1992290.9126781400,1874006.8754847200
0,19010301,7,1104004.53021,1124875.26405,-1951239.6762864200,1984962.0222651200
0,19010302,8,959318.48643,1089949.67480,-2080397.9379112500,2060571.2519197900
0,19010303,9,1024968.79419,1186108.09646,-1963600.0864185200,2085236.9227495900
0,19010401,10,815099.16229,1169774.27325,-2126035.4537417300,2220439.6569923300
0,19010402,11,611983.14359,1194029.84603,-2254045.3286622600,2380879.2379094100
0,19020101,12,489734.59239,1441423.13877,-2158579.1026614100,2649306.4680168900
0,19020102,13,429415.83158,1363027.61113,-2259925.8938334700,2634268.5215330100
0,19020103,14,614215.25648,1287552.87899,-2183745.9473393700,2448364.8975499400
0,19020104,15,506130.21942,1248588.44980,-2289810.3030921600,2495653.1181695600
0,19020201,16,388468.10147,1269807.69342,-2358343.9337361000,2594188.3877191000
0,19020202,17,269468.46805,1129079.73521,-2547585.5342399800,2572827.4182168500
0,19020301,18,141995.88523,1090490.97816,-2667624.1553511500,2633134.4736527000
0,19020302,19,205360.07279,1187434.89021,-2550463.1777690000,2661594.4800542000
0,19020401,20,246377.01655,1245681.83544,-2477887.1091307000,2676288.7548301800
0,19020402,21,302002.24107,1307336.02231,-2392294.1592927200,2682968.1328438600
0,19020501,22,324407.97028,1443708.33053,-2274472.3109848500,2767967.5579377400
0,19020502,23,198452.99231,1449914.41794,-2359311.9406247300,2861745.0310403700
0,19020503,24,248582.76033,1388601.00612,-2369722.0387430100,2780923.0385580300
0,19020504,25,113754.60298,1349873.70965,-2494802.0353647300,2847486.8427782400
0,19020505,26,205908.30855,1317434.34045,-2453374.0154922100,2758263.1208187400
0,19020601,27,99648.17125,1232550.92212,-2592636.8258387600,2769779.6398572800
0,19020602,28,39231.68151,1059653.00940,-2764286.3680617600,2681751.1524538300
0,19020701,29,35947.30223,839368.65937,-2928333.4650853900,2515596.0006016100
0,19020702,30,-163250.05079,804303.78838,-3098240.7833431700,2626577.9688697300
0,19030101,31,-466531.34182,635493.26079,-3442120.7518868400,2702815.9532058900
0,19030102,32,-770659.55614,524300.25956,-3745713.7965139300,2821019.8708057100
0,19030103,33,-1627661.04898,505203.36407,-4389994.0444360900,3383992.6854204200
0,19030201,35,-323305.91816,727455.49336,-3270630.5832289800,2677106.2029886100
0,19030202,36,-202479.04022,829019.24680,-3108554.9106363700,2672993.6792126200
0,19030203,37,-141846.86285,898888.98947,-3013358.6295381800,2685032.5164104000
0,19030204,38,-105315.53197,958017.10375,-2943433.4500498400,2705131.3765114200
0,19030205,39,-15117.29246,1148365.19248,-2737545.5520959800,2787091.1943871800
0,19030206,40,-74241.30424,1048279.63024,-2854330.4499668100,2752518.3004770800
