Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER
0,1090003,42,1978412.77910,2375429.32778,2300085.3658087400,80072.0758787426
0,1090004,43,2016539.68509,2355689.95849,2339962.9266441700,63659.6742408624
0,1090005,44,1993302.67456,2308692.25913,2320592.5386089500,13910.0267401267
0,1100001,45,1961196.94049,2348900.02017,2285074.4682440100,51620.7769046014
0,1100002,46,1941761.10391,2334994.46764,2266751.9507216000,35757.5093541080
0,1100003,47,1959260.42108,2297949.13123,2287335.1535097500,-100.6527175158
0,1100004,48,1906380.02860,2276822.69123,2235999.0730812000,-26280.0046659913
0,1100005,49,1854152.84859,2315245.83984,2180540.8916026100,7816.1407642195
0,1100006,50,1860720.86112,2242087.83930,2192920.4847078500,-65461.0659226887
0,1100007,51,1910144.60652,2251210.38950,2241802.9378704200,-51819.1946205911
0,1110000,52,1865941.14182,2663341.23677,2161333.1157737300,361009.1304578610
0,2010001,53,1798766.54216,2508665.67058,2108696.6624704600,198173.1894382570
0,2010002,54,1819094.39117,2537293.66197,2126445.4293380200,228991.6714819980
0,2010003,55,1829860.46770,2594384.86089,2131939.7932459600,287757.7613992320
0,2010004,56,1759551.51492,2581720.75845,2062923.3129448900,268429.5449441840
0,2010005,57,1811620.39873,2629877.37035,2110387.6951102600,321981.5827321360
0,2010006,58,1738812.63482,2608986.96249,2039709.6016157600,294100.2750738900
0,2010007,59,1817440.64994,2656779.22714,2113612.8768214400,349770.8723719610
0,2020001,60,1747039.66888,2512758.01054,2056626.6464592500,197590.0242756320
0,2020002,61,1740957.91014,2460940.04530,2055047.9207349200,144714.6466118540
0,2020003,62,1811925.24994,2439024.88282,2127938.1136792200,129005.3753741840
0,2020004,63,1704092.24264,2425852.14845,2021123.4973123200,106019.1690541220
0,2020005,64,1752248.93372,2369222.57008,2074024.6068304800,53172.5788995733
0,2020006,65,1796147.74441,2359222.16159,2118825.9195066700,46999.6192723810
0,2020007,66,1774607.57431,2263622.33219,2104842.9906038600,-51348.7745049173
0,2020008,67,1809259.57366,2280026.99113,2138325.3831769200,-31746.2016240179
0,2030101,68,1829722.25932,2242749.89036,2161761.0186392700,-67544.7861077253
0,2030102,69,1837623.19849,2211577.02561,2172081.0433804900,-98300.7336954128
0,2030103,70,1798106.31406,2201198.03677,2133191.5653056700,-112234.1882424840
0,2030104,71,1806874.89194,2170435.78028,2144291.4091511000,-142488.7126450660
0,2030105,72,1780393.80405,2146941.76113,2119414.0633451600,-168461.2146482550
0,2030201,73,1892691.59574,2223644.79057,2226435.0749545800,-81231.7091189919
0,2030202,74,1901997.29812,2209426.18735,2236870.3872232500,-94761.5663356836
0,2040101,75,1715213.67016,2268171.72422,2044903.4705887400,-51943.1511782442
0,2040102,76,1726792.15327,2312123.78622,2053093.7728650300,-6646.1290544520
0,2040103,77,1701721.16296,2241607.16335,2033390.1235808000,-79864.5174327195
0,2040104,78,1736353.22933,2236438.45131,2068539.3207010400,-82082.2553754724
0,2040105,79,1738653.13714,2175650.29140,2075385.3396707600,-143120.9214519280
0,2040106,80,1692456.44682,2167082.64796,2029608.1513996500,-155683.3786173650
0,2040201,81,1770987.17664,2104333.52567,2113023.6426078600,-212200.0472739450
0,2040202,82,1760434.39974,2073542.63416,2104580.8365429900,-244112.5883108680
0,2040203,83,1690059.00545,2111899.89656,2031143.7441664600,-211418.4398365960
0,2040204,84,1766133.83802,1982791.15681,2116487.8061316500,-335041.0313432810
0,2040205,85,1708929.61894,2047205.36762,2054601.8392006300,-274943.3873465770
0,2040206,86,1763027.18981,2018517.58583,2110967.6340560600,-299316.3550616580
0,2040207,87,1747625.79217,1969138.01351,2098763.3916789400,-350321.5341077690
0,2040301,88,1815043.42880,2075534.25359,2159347.0362768200,-237467.0067061040
0,2040302,89,1798962.95860,2023165.71601,2146801.5956058000,-291618.0263604260
0,2050101,90,1683007.25459,2344998.99899,2006597.3694233900,22660.1740905312
0,2050102,91,1635116.47800,2349587.64521,1958239.8281845800,23133.6317694419
0,2050103,92,1606158.42234,2297402.93664,1933271.4696884000,-31868.1170595869
0,2050104,93,1522380.47024,2263463.85336,1851789.3837606300,-73009.8605065057
0,2050105,94,1543052.93779,2291216.26365,1870452.9527440000,-43401.5658411015
0,2050106,95,1626591.04794,2245519.33192,1957696.2210196100,-82334.3032898324
0,2050107,96,1644591.47773,2192000.91451,1979720.2520703500,-134652.0811603240
0,2050201,97,1460141.28791,2124349.28210,1799172.7647724900,-217706.2497422670
0,2050202,98,1463302.10462,2185364.40688,1798120.1490562600,-156245.5615200050
0,2050203,99,1511005.62376,2186500.34205,1845953.4260361300,-151242.4878717180
0,2050204,100,1515822.52910,2143648.98031,1853805.7176381300,-193869.9381814110
0,2050205,101,1524751.88994,2216684.56949,1857593.3102781200,-119807.0275904750
0,2050206,102,1580525.26035,2190321.49681,1915501.7050664200,-141691.5200677630
0,2050301,103,1585674.83795,2129319.84983,1925005.2885587800,-202563.7268717880
0,2050302,104,1486540.73918,2088403.49884,1828150.7454004600,-251658.4615662110
0,2050303,105,1477610.39632,2037950.31578,1822518.6992367800,-302968.2476182090
0,2050304,106,1535171.01308,2084785.57766,1877297.1923912000,-251394.1782338090
0,2050305,107,1591842.77495,2079185.22060,1934666.4774823000,-252427.0866888650
0,2050306,108,1640395.44960,2049886.31531,1985486.3987724300,-277902.4755126470
0,2060001,109,1692806.85811,1910603.08568,2047347.9014001000,-413699.7017145100
0,2060002,110,1698373.32130,1987981.27564,2047954.1716621800,-335405.3365925870
0,2060003,111,1639560.92873,1992637.86359,1988459.7196785700,-335515.0186470680
0,2060004,112,1662714.79138,1924394.81942,2016171.6503301400,-402249.7177630740
0,2060005,113,1712086.40847,1933822.49894,2065281.8474905800,-388778.5331618690
0,2060006,114,1642461.30566,1925346.38735,1995716.4319827700,-402916.1528405570
0,2060007,115,1714923.53772,1896434.27182,2070514.4214158500,-426172.5814734010
0,2060008,116,1741130.06182,1919467.23935,2095443.6633924900,-400863.7764131740
0,2060009,117,1760894.43128,1874938.66623,2118161.4947163200,-444096.7076671330
0,2060010,118,1780885.55853,1902501.72222,2136555.5350483600,-414703.8516673190
0,2070001,119,1436199.57093,1886776.45804,1790329.6499738400,-457693.9866436920
0,2070002,120,1442785.86739,1962400.63801,1792309.8587983300,-381415.8373764940
0,2070003,121,1479858.53968,1952911.03506,1830236.7819839700,-388060.3786737900
0,2070004,122,1526555.81867,1990969.55807,1874829.5025671700,-346231.8635268540
0,2070005,123,1476033.07102,1837893.16268,1833396.8453614900,-503662.8515053860
0,2070006,124,1482893.89970,1887373.38413,1837342.8681685500,-453533.7059220130
0,2070007,125,1533046.04050,1932779.49352,1885061.7213642900,-404107.5458765980
0,2070008,126,1570528.29218,1941562.69793,1922254.8884726800,-392345.0725245610
0,2070009,127,1583524.02835,1997161.47988,1931766.8951663600,-335484.5858456180
0,2070010,128,1597882.48260,1911246.39228,1951708.3902954700,-420626.4435623410
0,2070011,129,1641938.63757,1864817.50139,1998961.0387548100,-463795.7571883410
0,2080101,130,1729384.59311,1786749.72098,2091785.9374131400,-535421.7454962500
0,2080102,131,1693452.91498,1771681.89287,2056458.7152572500,-553410.1693260370
0,2080103,132,1540047.81912,1865101.52980,1896282.5229577400,-471472.1030918480
0,2080104,133,1649450.46173,1826293.47637,2008868.2664291500,-501929.5152795850
0,2080105,134,1616311.96057,1818386.09157,1975944.8830297200,-512465.0019297510
0,2080106,135,1588025.20515,1804426.51394,1948261.7529352000,-528678.5291984350
0,2080107,136,1685935.64958,1765279.59467,2049255.6764239000,-560438.5365257640
0,2080108,137,1712704.01597,1735610.88083,2077960.9625769200,-588213.0042410670
0,2080109,138,1751886.47008,1808817.23936,2113143.0132590900,-511415.2918608890
0,2080110,139,1758432.89695,1805761.20144,2119923.3315969200,-513971.6092541020
0,2080201,140,1398698.43730,1761370.96203,1759843.0345922100,-586105.1883906340
0,2080202,141,1436276.00074,1781242.99128,1796612.0062522700,-563423.7566582920
0,2080203,142,1488658.48038,1758753.42683,1850722.6867347300,-582061.3142390530
0,2080204,143,1513469.25407,1810017.71464,1872776.5671555500,-528774.3311376660
0,2080205,144,1560444.22412,1768645.81117,1922543.6848423500,-566719.6580348720
0,2080206,145,1654569.07034,1751976.97596,2018406.8694717800,-576252.2364492460
0,2080207,146,1565341.03897,1733626.26781,1929484.5625162000,-601509.4109331220
0,2080208,147,1714090.13245,1709521.37650,2080849.9234648100,-614371.4350110930
0,3010101,148,1420993.20791,1690944.11670,1786246.7963018500,-655022.6927510620
0,3010102,149,1515530.05137,1676107.47122,1882443.7960314400,-662970.7282322230
0,3010103,150,1411720.12330,1620801.81741,1780652.6294967800,-725976.4952549380
0,3010104,151,1487928.66769,1628203.63067,1857178.7411858900,-713060.9851462510
0,3010105,152,1474838.43593,1663219.32703,1842088.0076399200,-678890.4538264640
0,3010106,153,1577122.18511,1652469.63332,1945873.8896332000,-682139.2094850790
0,3010107,154,1670532.86413,1610916.38072,2042355.5218818300,-716951.1087847330
0,3010201,155,1617897.26080,1700149.02235,1984374.8396294800,-631164.2177177270
0,3010202,156,1666545.72615,1713825.58495,2032665.2345200600,-613701.9343795840
0,3010203,157,1693926.22379,1646979.30116,2064001.1021419800,-678883.5769204800
0,3010204,158,1609744.23535,1668354.72374,1977915.0782547200,-663737.6267397410
0,3010205,159,1747060.38392,1644082.71603,2117749.4591006500,-677751.0229860440
0,3020101,160,1577594.06307,1598165.24832,1949259.7726345300,-736670.6114084710
0,3020102,161,1607124.44105,1619043.81023,1977947.2807225600,-713503.6999578380
0,3020103,162,1656195.78983,1571479.02003,2029978.1358554700,-757714.7818349070
0,3020104,163,1721483.66647,1557945.59674,2096558.1274474300,-766494.8035618770
0,3020105,164,1769092.65143,1559080.82095,2144527.9864439000,-761784.7864636510
0,3020106,165,1690722.00298,1480936.92595,2069444.7796766000,-846376.8405371530
0,3020201,166,1552882.11052,1555201.18911,1926560.5181280200,-781646.9530668490
0,3020202,167,1660280.70832,1521813.61570,2036664.4134978700,-807416.1372483960
0,3020203,168,1619358.60606,1550337.26881,1993904.1494573000,-781700.2151496340
0,3020204,169,1704074.53179,1499772.93310,2081975.2791740500,-826416.1506904590
0,3030001,170,1671551.20890,1453612.98352,2051447.5416699500,-875302.7360886230
0,3030002,171,1474650.21792,1569104.43151,1846874.6970126100,-773316.0625809390
0,3030003,172,1467806.63409,1525071.60292,1842211.8831574300,-817989.9319468710
0,3030004,173,1523385.48889,1492957.96952,1899935.2913129400,-846301.6521331940
0,3030005,174,1599818.56928,1411721.89527,1981064.7223205500,-922607.0475148930
0,3030006,175,1587201.54898,1463539.82932,1965816.6763142600,-871345.9470596690
0,3030007,176,1636131.34204,1453850.14842,2015684.7581031600,-877606.8040759100
0,3040101,177,1347992.83659,1571715.79411,1718863.0082976300,-779649.7750216200
0,3040102,178,1351434.75977,1533526.93501,1724275.1726880300,-817658.1628628070
0,3040103,179,1413469.96281,1522059.59331,1787497.7559679100,-824833.0353469170
0,3040104,180,1439405.15209,1470824.07865,1816227.8519658600,-874421.0605629720
0,3040105,181,1394372.54100,1467310.86109,1770918.5321459100,-881058.5427610720
0,3040201,182,1471971.68368,1389648.44352,1853012.9508150800,-953687.0574520560
0,3040202,183,1444138.30269,1366385.55945,1825986.6089393000,-978954.9317991140
0,3040203,184,1523878.33150,1427952.38979,1903611.7630915600,-911600.5809732300
0,3040204,185,1515104.76645,1386691.21341,1896712.9596995000,-953695.1887445670
0,3040205,186,1466725.22601,1313975.70995,1851200.4974674200,-1030103.8606384700
0,3040206,187,1573692.68823,1367775.63763,1956759.7830883000,-968677.8490843670
0,3040207,188,1601631.02267,1355829.86783,1985523.6049299600,-978771.7357858870
0,3050101,189,1259070.88561,1502819.83974,1632507.3800127500,-854714.3477421510
0,3050102,190,1312488.13922,1486069.60262,1687291.3212441700,-867861.5791781500
0,3050103,191,1362853.12646,1419651.04138,1741374.2965638500,-931000.7228112920
0,3050104,192,1390154.70464,1352942.37444,1772075.0908754700,-996089.1562003490
0,3050105,193,1274614.80460,1448329.48033,1650858.6961133800,-908204.3750001090
0,3050106,194,1335363.29403,1369893.97799,1715936.1255611300,-982737.2518302780
0,3050107,195,1272774.20565,1400327.11454,1651276.0853138500,-956392.2532321900
0,3050108,196,1274499.52640,1378250.14447,1654049.4794699300,-978390.9322697650
0,3050109,197,1272878.38211,1351878.24091,1653627.4926525800,-1004917.7384232900
0,3050110,198,1378362.56721,1309510.79379,1762137.6422265100,-1040474.6611464800
0,3050111,199,1429359.22657,1282382.37230,1814870.2471256300,-1064356.6030452200
0,3050112,200,1496771.64141,1268309.72130,1883586.3271830900,-1074034.0872142500
0,3050201,201,1482870.05253,1241134.73357,1870734.4610992400,-1102310.2617797400
0,3050202,202,1463997.46943,1209085.81920,1853052.1592151300,-1135811.7589425600
0,3050203,203,1360320.60073,1283921.06489,1745052.6009208100,-1067353.8950665600
0,3050204,204,1339888.97685,1268771.88318,1725078.1658107100,-1083894.9584349300
0,3050205,205,1408553.26065,1240998.60015,1795668.9514495400,-1107325.6806249900
0,3050206,206,1423270.96197,1258934.00430,1809754.4853689000,-1088330.4520677800
0,3050207,207,1375520.16596,1223222.01941,1763064.2573555200,-1127338.8834634900
0,3050208,208,1408555.32102,1171399.55742,1798640.7607533000,-1177327.1517589500
0,3060101,209,1188322.78943,1388083.39112,1566502.2927126800,-974181.7803979800
0,3060102,210,1155083.12863,1374729.53572,1533523.5633734200,-989684.8076921460
0,3060103,211,1222935.63202,1319758.07754,1604613.3467597300,-1040334.7299264400
0,3060104,212,1171655.44888,1310760.96561,1553184.6270757600,-1052622.6381684700
0,3060105,213,1222136.70625,1260221.13396,1606452.7049188100,-1100031.9650940600
0,3060106,214,1306488.82964,1235777.66367,1692769.1990097000,-1119169.0050149300
0,3060107,215,1275129.81316,1293458.91502,1658542.9875642800,-1063322.8957066400
0,3060108,216,1285331.30614,1213089.11910,1672365.9835280700,-1143290.5034300100
0,3060109,217,1370671.88661,1147399.12175,1761368.0653746400,-1203885.7999948000
0,3060201,218,1250359.96350,1200811.86639,1637547.3007997300,-1157819.6534992900
0,3060202,219,1336483.97298,1142325.38371,1727036.0449699700,-1211144.6664290900
0,3060203,220,1316912.24130,1117780.99041,1708269.3885931900,-1237047.1476118500
0,3060204,221,1377932.19199,1069875.62446,1771849.3152208100,-1281461.9668703200
0,3070101,222,1150673.24422,1253574.05468,1534504.6856458600,-1111191.2323762700
0,3070102,223,1206585.15110,1152303.62669,1595347.5188628900,-1209212.5250620900
0,3070103,224,1111766.06868,1210042.26786,1497053.1121839700,-1157185.2059439000
0,3070104,225,1180363.61674,1091035.45454,1571362.5097398200,-1272295.5193998800
