Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER,THg
0,3110206,267,1303022.518,856957.3188,1704225.16,-1500641.176,1.4276
0,3130001,271,1096023.947,1322009.101,1476221.051,-1046149.409,3.2121
0,3130002,272,1020319.925,1184100.718,1405693.53,-1188698.023,2.26645
0,3130006,276,1124733.5,1066727.877,1516112.214,-1300026.829,1.9473
0,3130008,278,1104490.732,970610.503,1499434.815,-1397704.853,0.729
0,3130009,279,1077513.02,1011462.622,1470575.656,-1358259.837,0.9353
0,3130010,280,1061751.492,960223.3096,1456637.346,-1410603.174,1.0982
0,3130013,283,1078172.091,832898.9479,1477995.133,-1537670.439,7.7288
0,3150105,304,959673.5039,1294841.925,1339558.892,-1081702.568,4.68
0,3150202,311,834187.2558,1145298.729,1219065.859,-1238395.513,1.14
0,3150204,313,803520.1173,973323.7426,1195032.229,-1412008.811,1.78
0,3160201,327,744571.216,1040060.519,1132736.488,-1348537.168,2.74
0,3160203,329,754512.7738,972511.0562,1145496.484,-1415508.611,2.09
0,3160204,330,761145.1079,902593.9366,1154936.845,-1485114.995,2.27
0,4010101,346,407266.3527,2767348.872,702735.1412,352434.3298,1.606463835
0,4010201,348,265296.7734,2692473.138,566469.8325,268846.4904,0.365620026
0,4010202,349,301999.3492,2690084.498,603074.2212,268527.5804,1.118735389
0,4010301,350,339134.592,2632926.315,643424.5079,213273.3952,0.625241748
0,4020101,352,478535.7503,2632993.11,782143.9924,221656.5916,19.5
0,4020102,353,522127.4823,2627629.081,825873.6562,218970.849,0.673341115
0,4020103,354,566619.2835,2703848.821,865051.9134,298360.0303,1.126050369
0,4020104,355,565903.9362,2655443.658,867599.056,249656.5812,0.887
0,4020105,356,616485.5443,2662699.374,917413.5101,260194.1688,1.818
0,4030101,361,645515.5938,2362869.905,965913.1854,-38159.78149,0.470635977
0,4030104,364,601420.6212,2480542.918,914407.2487,76606.73521,0.927597691
0,4030105,365,604469.9031,2511233.24,915487.0611,107513.6575,1.76
0,4030107,367,605196.0474,2623722.58,908818.4196,220318.4394,1.792
0,4030108,368,617324.3342,2549067.039,925854.7536,146230.2227,1.6804
0,4030110,370,651280.5371,2613688.41,955379.6726,213241.2659,0.653
0,4030111,371,694526.2306,2597952.888,999529.0568,200304.5933,1.178764304
0,4030201,373,545300.75,2337145.383,867080.7381,-70145.79226,0.289895821
0,4030202,374,561164.2927,2433937.143,877091.8026,27465.94151,1.4142
0,4030203,375,602317.6129,2348831.589,923505.0827,-54923.74776,0.683749958
0,4040001,377,743098.5195,2106330.206,1079306.235,-287556.421,1.43
0,4040002,378,656996.2151,2219836.139,986099.4758,-180059.2136,2.1168
0,4040003,379,636693.0371,2294051.132,961284.2212,-107385.4324,2.088095204
0,4050001,380,855445.3442,2141187.533,1190209.286,-245405.548,1.65855
0,4050002,381,805059.2537,2217842.495,1134897.591,-172373.4636,0.598676992
0,4050003,382,870097.0068,2206058.765,1200941.227,-179728.3074,0.378523552
0,4050004,383,941524.6615,2231778.57,1271033.428,-149122.1082,0.445709115
0,4050006,385,847394.9393,2281137.035,1173413.836,-106359.9992,0.575588198
0,4050007,386,880060.2969,2237483.161,1208969.061,-147692.7094,1.550435122
0,4060101,387,793103.6545,2346799.26,1114770.665,-44480.55781,0.528789927
0,4060102,388,855506.0586,2372417.002,1175597.527,-14615.94176,0.39727339
0,4060104,390,795101.347,2455434.264,1109606.739,64271.08937,0.322
0,4060105,391,849088.8985,2500471.665,1160462.72,113097.6638,0.444
0,4070004,398,886174.0532,2537379.754,1194874.516,152705.7797,0.384
0,4070006,400,956107.6998,2503344.269,1267141.056,123580.9608,0.392
0,4070007,401,931894.8737,2463811.359,1245770.165,82217.7192,0.412
0,4080201,406,920198.8909,2378287.461,1239983.105,-4223.447732,0.234
0,4080202,407,894691.7132,2339291.864,1217047.434,-45004.5364,0.299
0,4080203,408,942607.878,2321741.215,1266234.872,-59178.53261,0.210388322
0,4090003,415,1046422.305,2262533.647,1374297.922,-110918.5536,0.832249434
0,4090005,417,999602.9716,2220444.854,1330073.333,-156338.0586,0.487
0,4100002,419,987070.2328,2171093.507,1320646.362,-206498.855,0.368
0,4100003,420,920364.568,2111491.393,1257289.106,-270591.8905,2.2
0,4100005,422,929038.0251,2075168.278,1268209.932,-306206.6029,8.851
0,4110002,431,1206390.729,2123660.873,1544128.933,-237966.0018,4.6452
0,4110004,433,1240965.197,2163850.391,1576232.548,-195169.6896,1.6164
0,4150101,447,1655807.206,2487174.853,1967639.368,163600.0442,1.55
0,4150302,451,1640377.525,2543022.513,1947385.592,218584.0968,1.59
0,4150304,453,1652113.04,2568831.472,1956823.647,245682.2114,0.52
0,4150305,454,1705646.282,2522689.994,2014381.518,203884.1206,0.845
0,4150307,456,1706849.518,2623900.6,2006438.329,306261.6379,1.11
0,5010005,461,1401976.987,2166337.056,1737840.817,-180219.6828,8.09
0,5010009,465,1351214.728,2076793.691,1692821.519,-273887.1643,0.85
0,5020005,470,1346202.224,2001845.542,1692587.264,-349298.7612,1.56
0,5020006,471,1400593.834,1995693.469,1747730.76,-351307.7108,1.16
0,5080001,506,998692.6941,1968391.468,1344661.751,-407851.5691,2.1
0,5080002,507,973358.2308,1901545.792,1322968.445,-476191.1162,2.05
0,5080003,508,930541.3031,1901458.333,1279807.604,-479157.7103,0.915
0,5090202,514,1022396.077,1885404.741,1373319.962,-488938.722,1.83
0,5120101,529,890416.8556,2016577.581,1232800.188,-367202.089,4.37
0,5120103,531,893568.9501,1982717.939,1237933.653,-400711.8841,2.31
0,5120104,532,852390.1658,2047305.05,1192723.933,-339142.7734,2.185
0,5120106,534,796530.5016,2041094.316,1136853.134,-349014.4275,1.819
0,5120107,535,812434.4915,1972240.562,1156792.205,-416499.2338,1.39
0,5120108,536,741349.6345,1935410.724,1087200.624,-457705.081,2.69095
0,5120109,537,684617.43,1945896.534,1029443.031,-450852.6995,0.363
0,5120110,538,779983.2368,1933364.416,1126256.137,-457273.4195,1.11295
0,5120111,539,722926.1413,1843217.12,1073583.206,-550505.6386,4.02
0,5120112,540,679405.1828,1839632.993,1029858.494,-556762.7044,3.949
0,5120114,542,656146.285,1773113.8,1009823.614,-624252.5079,0.762
0,5120115,543,640359.9632,1730682.12,996032.1219,-667338.9775,0.988
0,5120201,544,847688.7937,1923643.521,1195043.498,-462554.3095,3.397
